"drink" "beforeDrink" "afterDrink"
"1" "beer" 0.13 0.49
"2" "beer" 0.13 0.59
"3" "beer" 0.21 0.27
"4" "beer" 0.25 0.43
"5" "beer" 0.25 0.5
"6" "beer" 0.32 0.5
"7" "beer" 0.43 0.37
"8" "beer" 0.44 0.3
"9" "beer" 0.46 0.58
"10" "beer" 0.5 0.89
"11" "beer" 0.5 0.67
"12" "beer" 0.5 0.34
"13" "beer" 0.53 0.48
"14" "beer" 0.54 0.73
"15" "beer" 0.55 0.8
"16" "beer" 0.55 0.86
"17" "beer" 0.6 0.77
"18" "beer" 0.6 0.57
"19" "beer" 0.64 0.87
"20" "beer" 0.65 0.62
"21" "beer" 0.67 0.93
"22" "beer" 0.7 1
"23" "beer" 0.7 0.81
"24" "beer" 0.79 0.92
"25" "beer" 0.79 1
"26" "water" 0.12 0.16
"27" "water" 0.14 0.14
"28" "water" 0.14 0.06
"29" "water" 0.2 0.08
"30" "water" 0.22 0.42
"31" "water" 0.3 0.26
"32" "water" 0.36 0.46
"33" "water" 0.35 0.39
"34" "water" 0.4 0.42
"35" "water" 0.42 0.66
"36" "water" 0.42 0.47
"37" "water" 0.42 0.52
"38" "water" 0.42 0.54
"39" "water" 0.43 0.41
"40" "water" 0.45 0.47
"41" "water" 0.57 0.49
"42" "water" 0.6 0.43
"43" "water" 0.73 0.45
